timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,smooth_accel_z,1.460851607,0.000000001,smooth_mag_x,smooth_mag_y,alpha,standard deviation,smooth_gyro_z
4.70561E+12,-0.18725586,2.9794312,9.284363,-0.19869995,-0.3478241,-0.11364746,18.492126,6.678772,-51.57776,8.795977181,10.5504258,4705.612649,18.4048965,6.052069276,BLANK,0.520931008,-0.095414335
4.70562E+12,0.028762817,3.053299,9.527451,-0.24923706,-0.33137512,-0.08163452,18.492126,6.678772,-51.57776,8.832550872,10.5504258,4705.617685,18.40925797,6.083404412,BLANK,0.520931008,-0.094725344
4.70562E+12,0.22982788,3.2201233,9.705368,-0.2985382,-0.29748535,-0.05317688,18.492126,6.678772,-51.57776,8.876191728,10.5504258,4705.62272,18.41340137,6.113172791,BLANK,0.520931008,-0.092647921
4.70563E+12,0.45700073,3.4045258,9.814377,-0.34754944,-0.25120544,-0.030548096,18.492126,6.678772,-51.57776,8.923100992,10.5504258,4705.627756,18.4173376,6.141452752,BLANK,0.520931008,-0.08954293
4.70563E+12,0.668808,3.4696045,9.92215,-0.3895111,-0.19673157,-0.018218994,18.492126,6.678772,-51.57776,8.973053442,10.5504258,4705.632791,18.42107702,6.168318714,BLANK,0.520931008,-0.085976733
4.70564E+12,0.8415375,3.5808868,10.033936,-0.42268372,-0.14178467,-0.019241333,19.856262,7.3623657,-51.24359,9.02609757,10.5504258,4705.637826,18.49283627,6.228021063,BLANK,0.520931008,-0.082639963
4.70564E+12,0.7928467,3.623169,10.090347,-0.4468689,-0.09738159,-0.032791138,19.856262,7.3623657,-51.24359,9.079310042,10.5504258,4705.642862,18.56100756,6.284738295,BLANK,0.520931008,-0.080147522
4.70565E+12,0.7591553,3.615448,10.074783,-0.4644165,-0.06121826,-0.061294556,19.856262,7.3623657,-51.24359,9.12908369,10.5504258,4705.647897,18.62577028,6.338619666,BLANK,0.520931008,-0.079204873
4.70565E+12,0.6404877,3.527771,10.149704,-0.47052002,-0.039108276,-0.09068298,19.856262,7.3623657,-51.24359,9.180114705,10.5504258,4705.652933,18.68729487,6.389806967,BLANK,0.520931008,-0.079778779
4.70566E+12,0.52612305,3.4278107,10.180145,-0.4654541,-0.031539917,-0.11985779,17.289734,6.5063477,-51.411438,9.23011622,10.5504258,4705.657968,18.61741682,6.395634004,BLANK,0.520931008,-0.081782729
4.70566E+12,0.34588623,3.320877,10.187576,-0.44909668,-0.04273987,-0.14608765,17.289734,6.5063477,-51.411438,9.277989209,10.5504258,4705.663003,18.55103268,6.401169689,BLANK,0.520931008,-0.084997975
4.70567E+12,0.13703918,3.2056274,10.144165,-0.42303467,-0.061035156,-0.16577148,17.289734,6.5063477,-51.411438,9.321297999,10.5504258,4705.668039,18.48796775,6.406428589,BLANK,0.520931008,-0.089036651
4.70567E+12,-0.014556885,3.1459808,10.013229,-0.39727783,-0.08227539,-0.17504883,17.289734,6.5063477,-51.411438,9.355894549,10.5504258,4705.673074,18.42805606,6.411424545,BLANK,0.520931008,-0.09333726
4.70568E+12,-0.11961365,3.1284943,10.017761,-0.3703308,-0.10227966,-0.17097473,17.304993,6.5063477,-51.379395,9.388987871,10.5504258,4705.67811,18.37190291,6.416170703,BLANK,0.520931008,-0.097219133
4.70568E+12,-0.16397095,3.1666412,10.032684,-0.34680176,-0.11810303,-0.15698242,17.304993,6.5063477,-51.379395,9.421172678,10.5504258,4705.683145,18.31855741,6.420679552,BLANK,0.520931008,-0.100207297
4.70569E+12,-0.072006226,3.1960602,10.02594,-0.32112122,-0.13070679,-0.13908386,17.304993,6.5063477,-51.379395,9.451411044,10.5504258,4705.68818,18.26787919,6.42496296,BLANK,0.520931008,-0.102151126
4.70569E+12,0.03302002,3.2402344,9.965363,-0.29244995,-0.138443,-0.11723328,17.304993,6.5063477,-51.379395,9.477108642,10.5504258,4705.693216,18.21973488,6.429032197,BLANK,0.520931008,-0.102905233
