timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Smooth Mag,smooth_mag_x,smooth_mag_y,smooth_mag_z,0.000000001,Rad/sec * seconds,1.359228818,Standard Deviation Gyro,
7.20584E+12,-0.21473694,0.06121826,9.62973,-0.001174927,0,-0.002426148,6.399536,3.9169312,-44.61975,BLANK,6.686739951,2.707296852,-45.43319845,7205.839495,7.25E+02,41561.77967,1.359228818,-1.359228818
7.20584E+12,-0.22827148,0.05444336,9.722275,-0.001174927,0,-0.002426148,6.399536,3.9169312,-44.61975,BLANK,6.672379753,2.767778569,-45.39252602,7205.84453,7.27E+02,41651.22028,1.359228818,-1.359228818
7.20585E+12,-0.23565674,0.10383606,9.654953,0.001983643,0.003158569,-3.66E-04,6.399536,3.9169312,-44.61975,BLANK,6.658737565,2.825236201,-45.35388722,7205.849566,7.29E+02,41740.93587,1.359228818,-1.359228818
7.20585E+12,-0.21238708,0.054840088,9.598358,0.004226685,0.008407593,-0.001434326,6.399536,3.9169312,-44.61975,BLANK,6.645777487,2.879820951,-45.31718036,7205.854601,7.30E+02,41830.50763,1.359228818,-1.359228818
7.20586E+12,-0.21032715,0.072769165,9.603821,0.005325317,0.00730896,-0.001434326,6.9335938,2.5772095,-45.664978,BLANK,6.660168303,2.864690378,-45.33457024,7205.859636,7.32E+02,41920.07858,1.359228818,-1.359228818
7.20586E+12,-0.26838684,0.053604126,9.569351,0.006118774,0.006515503,-0.001434326,6.9335938,2.5772095,-45.664978,BLANK,6.673839578,2.850316334,-45.35109063,7205.864672,7.33E+02,42009.64868,1.359228818,-1.359228818
7.20587E+12,-0.24136353,0.046676636,9.611801,0.005020142,0.007080078,-0.001434326,6.9335938,2.5772095,-45.664978,BLANK,6.686827289,2.836660992,-45.366785,7205.869707,7.35E+02,42099.21796,1.359228818,-1.359228818
7.20587E+12,-0.23931885,0.038528442,9.619186,0.003936768,0.005111694,-0.001434326,6.9335938,2.5772095,-45.664978,BLANK,6.699165614,2.823688418,-45.38169465,7205.874743,7.36E+02,42188.78643,1.359228818,-1.359228818
7.20588E+12,-0.25628662,0.06567383,9.626587,0.00289917,0.004074097,-0.00126648,7.36084,2.7496338,-45.42389,BLANK,6.732249334,2.819985687,-45.38380442,7205.879778,7.38E+02,42278.37685,1.359228818,-1.359228818
7.20588E+12,-0.23786926,0.05595398,9.597916,0.002227783,0.003173828,-1.22E-04,7.36084,2.7496338,-45.42389,BLANK,6.763678867,2.816468093,-45.3858087,7205.884813,7.39E+02,42368.12241,1.359228818,-1.359228818
